Terme,FonctionID,WdtID,WdtLabel
Interprétation,15,P161,distribution
Société de production,34,P272,société de production
Producteur,28,P162,producteur ou productrice
Scénario,31,P58,scénariste 
Participant,24,P11108,recorded participant
Montage images,19,P1040,monteur ou monteuse
Musique,21,P86,compositeur ou compositrice
Télédiffuseur,43,P449,diffuseur original
Producteur délégué,29,P1431,producteur délégué ou productrice déléguée
Société de distribution,39,P750,distribué par
Direction artistique,10,P3174,directeur artistique
Animateur d'émission,35,P371,présentateur ou présentatrice
Narrateur,23,P725,comédien ou comédienne de doublage
Producteur exécutif,48,P1431,producteur délégué ou productrice déléguée
Interprète musique,16,P175,interprète
Conception sonore,7,P5028,designer sonore
Costumes,8,P2515,costumier
Assistant réalisation,3,P5126,assistant réalisateur
Maquillage,17,P4805,maquilleur ou maquilleuse
Décors,9,P2554,chef décorateur ou cheffe décoratrice
Chorégraphie,51,P1809,chorégraphe 
Réalisation,9999,P57,réalisé(e) ou mis(e) en scène par
